G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0,0000000	0,0046116	0,6058841	0,6445945	0,2265733	0,7166761	0,1847015	0,5776172	0,1463543	0,0379335	0,6381115	0,1625188	0,4988539	0,6888876	0,0660388	0,6514142	0,7172824	0,6717773	0,0308758	0,7150426	0,0184335	0,0106835	0,5456264	0,2556056	0,1393969	0,0758622	0,5266916	0,0958346	0,6154286	0,4136039	0,6595541	0,4980822	0,0205142	0,0006447	0,3599125	0,0274288	0,0000282	0,0585684	0,7101129	0,6137595	0,7133392	0,4190270	0,0374765	0,0238985	0,0277805	0,7196164	0,6456397	0,0062652	0,1406577	0,7638815
0,4219055	0,0000000	0,6679561	0,7522478	0,2842804	0,8128006	0,1633002	0,5055120	0,2119374	0,0471114	0,6836615	0,1866893	0,6741944	0,7682935	0,0479832	0,6060257	0,6992883	0,7161907	0,0449601	0,6257293	0,0185649	0,0166985	0,6456580	0,2293837	0,1305385	0,1257494	0,5981238	0,1325815	0,7738413	0,3404951	0,6025182	0,5710404	0,0434766	0,0003000	0,4292921	0,0170218	0,0004112	0,0903004	0,6697166	0,5561493	0,5873271	0,4303922	0,0413808	0,0190693	0,0474698	0,6678211	0,7663334	0,0069161	0,1030574	0,6764520
0,3671512	0,0033934	0,0000000	0,6623070	0,2707055	0,6869975	0,3010018	0,5319864	0,1912056	0,0407970	0,8088449	0,0975726	0,5633991	0,5949307	0,0539651	0,6456895	0,6959057	0,6315568	0,0408647	0,6868998	0,0123789	0,0313578	0,6271622	0,2807864	0,1920910	0,1010981	0,5292766	0,1950998	0,6602992	0,3844306	0,8162218	0,7623832	0,0344950	0,0006209	0,3606639	0,0333828	0,0000809	0,0889225	0,6499373	0,7466800	0,5682803	0,3976709	0,0229675	0,0258429	0,0541769	0,7464240	0,7469626	0,0040979	0,1285201	0,7626323
0,3366023	0,6805298	0,0150183	0,0000000	0,4872287	0,6573336	0,0013494	0,5810229	0,2026832	0,6933332	0,0057567	0,7435009	0,6177599	0,0515858	0,0516223	0,0152754	0,7471251	0,6616536	0,6334048	0,6496896	0,0172139	0,0311293	0,7145551	0,3135069	0,0843170	0,1668590	0,6348140	0,1738106	0,5910822	0,3466515	0,5568673	0,7538075	0,0440227	0,0003740	0,3891033	0,0530734	0,0002931	0,0742499	0,6293229	0,6294091	0,7094174	0,3621780	0,0357539	0,0124666	0,0472716	0,7219885	0,6240777	0,0019234	0,0495511	0,7010313
0,4868855	0,0013102	0,6940335	0,7660133	0,0000000	0,6633195	0,1908273	0,5382749	0,1463722	0,0679736	0,6721459	0,1229716	0,6065235	0,7860074	0,0862569	0,5606283	0,6474336	0,6370314	0,0660079	0,5970706	0,0124214	0,0158151	0,5912406	0,1786735	0,1145279	0,1062558	0,5256897	0,1904878	0,7293812	0,3770579	0,5942399	0,6820417	0,0227168	0,0005931	0,3230995	0,0679724	0,0000935	0,0474209	0,6691833	0,7052889	0,6696593	0,4344779	0,0281286	0,0090133	0,0230189	0,7598800	0,7209385	0,0062362	0,1027779	0,6796749
0,4466517	0,0051314	0,5721946	0,7830973	0,2509238	0,0000000	0,2373980	0,5597782	0,1645125	0,0249121	0,6468214	0,0895477	0,5990731	0,6418045	0,0803387	0,5914403	0,7408184	0,6211847	0,0292348	0,7256559	0,0067039	0,0344951	0,6205447	0,2246830	0,0803249	0,0910951	0,5641249	0,1393728	0,7929734	0,4340731	0,6633770	0,6590657	0,0346235	0,0002640	0,4870527	0,0358304	0,0002808	0,0639741	0,5828447	0,6545047	0,6557993	0,3835620	0,0228470	0,0146094	0,0481532	0,6372233	0,5817248	0,0065867	0,1227195	0,6683056
0,4042867	0,0003046	0,6467355	0,7330785	0,2683716	0,6522167	0,0000000	0,5763117	0,2021434	0,0388418	0,7583499	0,1525544	0,4829110	0,6850032	0,0498347	0,6722987	0,6594633	0,5389634	0,0661305	0,7008473	0,0449124	0,0095655	0,7635578	0,2998824	0,1193587	0,0862382	0,7474863	0,1324641	0,7736908	0,4586750	0,6790824	0,6867048	0,0285938	0,0012957	0,4732039	0,0453313	0,0045912	0,0741700	0,6730644	0,5752937	0,7935311	0,3591126	0,0673603	0,0132771	0,0366392	0,6573001	0,8304127	0,0030750	0,0827838	0,6978788
0,4885543	0,0041448	0,6447969	0,6655732	0,2764990	0,7252831	0,2311299	0,0000000	0,1228490	0,0295195	0,6823343	0,1008755	0,6503979	0,5350964	0,7081526	0,6057575	0,6209355	0,0237553	0,0397631	0,0754919	0,7105776	0,5910004	0,0389892	0,0000720	0,6911335	0,6346478	0,0564106	0,6301648	0,6614352	0,0092093	0,1091918	0,6004898	0,0097235	0,3757444	0,3523319	0,0501726	0,0007838	0,0553128	0,7335842	0,6419951	0,6782708	0,4955057	0,0156037	0,0099558	0,0452819	0,5996987	0,6989129	0,2407828	0,3107224	0,6707759
0,4090710	0,0338566	0,6383552	0,6204585	0,0004470	0,6646163	0,0020073	0,5180314	0,0000000	0,0453629	0,7370124	0,1097311	0,0338418	0,6472134	0,0483011	0,6513707	0,6364242	0,6990815	0,0596273	0,6873613	0,0186131	0,0176269	0,7583455	0,2331433	0,1465015	0,1314863	0,5430173	0,1614990	0,7870768	0,4004970	0,5618644	0,7462643	0,0201729	0,0003448	0,3821892	0,0558707	0,0000536	0,0726997	0,6842386	0,6594977	0,6029311	0,4228553	0,0274619	0,0230859	0,0407473	0,6343966	0,7539848	0,0006210	0,0947104	0,7293487
0,4086967	0,0149319	0,7004244	0,6564083	0,2736982	0,7347371	0,2444845	0,5172362	0,1652436	0,0000000	0,6434739	0,1597547	0,6046436	0,7004215	0,0682746	0,6127857	0,7623846	0,5640080	0,0533678	0,7283698	0,0407590	0,0137631	0,6512870	0,3424796	0,1247208	0,1240335	0,5491208	0,1506091	0,7464990	0,3949831	0,7407999	0,7555314	0,0506415	0,0002933	0,4422797	0,0379796	0,0031571	0,0728786	0,7740969	0,6266809	0,6265538	0,4371404	0,0416131	0,0064192	0,0391569	0,6574797	0,5967527	0,0039062	0,0996296	0,6443762
