G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
0,0000000	0,6067137	0,0117044	0,2283501	0,7428912	0,0341102	0,0448153	0,7361835	0,4183515	0,7611324	0,3528266	0,2442328	0,3705849	0,6485504	0,7830302	0,0243647	0,6464990	0,6197785	0,6794529	0,2089211	0,1206563	0,0102013	0,5012765	0,8546383	0,7498216	0,2429508	0,7997039	0,6427318	0,0132028	0,6320081	0,7203787	0,6559399	0,2530995	0,4490739	0,4996660	0,0005905	0,4691099	0,6003729	0,2251306	0,5117985	0,6982156	0,6549813	0,0527377	0,3063351	0,3741111	0,0083601	0,2859359	0,8209941	0,8020544	0,0223575
0,4517334	0,0000000	0,7084828	0,0010778	0,7151206	0,0283047	0,0760956	0,7565932	0,1998709	0,4920728	0,0075813	0,4045415	0,3999325	0,0026645	0,3273750	0,0377914	0,7864824	0,7789443	0,6859223	0,1063713	0,0511274	0,5940728	0,8032999	0,7362976	0,6094589	0,2742978	0,8471432	0,5826150	0,0130621	0,6626074	0,6620758	0,5891155	0,1091565	0,7078839	0,3993149	0,0001349	0,5525863	0,6151524	0,0067684	0,5171039	0,7650201	0,5516612	0,0330153	0,3498743	0,2978140	0,0344369	0,2746853	0,7809875	0,6941064	0,0085824
0,8019476	0,6642957	0,0000000	0,0250944	0,5290236	0,4938286	0,0560458	0,4123660	0,2463871	0,6344484	0,0008389	0,3102615	0,4131493	0,7306712	0,3332658	0,0734073	0,6397246	0,6864184	0,7559786	0,1409256	0,0454084	0,0300685	0,5501204	0,8358434	0,7367009	0,2492220	0,7704964	0,6732485	0,0188772	0,5784242	0,5880541	0,7977318	0,2048800	0,6090129	0,4774252	0,0000498	0,4499829	0,6655680	0,3769418	0,5359975	0,5927727	0,6808711	0,0225901	0,3216630	0,3133189	0,0609590	0,2817276	0,6779896	0,6450954	0,0119006
0,6065263	0,7229760	0,0312032	0,0000000	0,7952568	0,4242134	0,0398243	0,6464726	0,2859143	0,7907293	0,0028959	0,3156362	0,3865646	0,7846227	0,3689492	0,0295438	0,6892714	0,7292415	0,7286450	0,1494585	0,0667855	0,0067504	0,6186582	0,7711312	0,6878948	0,2068214	0,7351641	0,5800811	0,0201631	0,6314744	0,6934625	0,7727075	0,1645174	0,6756643	0,5256725	0,0022435	0,3997431	0,6011819	0,2967246	0,5444801	0,6152839	0,7987838	0,0181036	0,3195892	0,3463080	0,0330223	0,2236332	0,7800994	0,6647379	0,0238406
0,7699678	0,9131815	0,0093759	0,0005509	0,0000000	0,4572152	0,0606405	0,6358650	0,2698426	0,7265846	0,0002898	0,4455832	0,3923357	0,7969319	0,3661394	0,0316057	0,6480761	0,8652975	0,7609063	0,1150440	0,1472716	0,0190849	0,6837672	0,6928653	0,6324991	0,2218016	0,6801038	0,6924814	0,0188275	0,7636279	0,6928449	0,7046102	0,1299288	0,6458924	0,4443378	0,0020384	0,4823726	0,5491810	0,2762627	0,5887991	0,7086784	0,5225895	0,0787462	0,3327530	0,3389269	0,0683497	0,4174799	0,6745643	0,6993846	0,0295658
0,7219298	0,6619719	0,0113008	0,0321722	0,7452419	0,0000000	0,0263185	0,6230729	0,2686465	0,7118461	0,0015886	0,3410355	0,3146717	0,6268129	0,4260351	0,0149753	0,6397649	0,7036406	0,7541684	0,1390005	0,0415878	0,0219780	0,7303887	0,6201036	0,7257972	0,2168293	0,7287455	0,7203177	0,0075086	0,6114733	0,6637077	0,6956917	0,1252542	0,7400057	0,2897278	0,0004214	0,4247473	0,6143202	0,3275905	0,5001434	0,6643096	0,7772394	0,0325289	0,3791140	0,4435476	0,0168157	0,3601479	0,8232986	0,6686388	0,0123472
0,6566149	0,7777993	0,0471896	0,0028532	0,7644267	0,4582773	0,0000000	0,7710794	0,7236839	0,5576263	0,0005531	0,2155764	0,4222954	0,7985488	0,2949084	0,0472258	0,8641179	0,6486054	0,8661624	0,1617445	0,0631131	0,0140384	0,5932454	0,6215949	0,7310232	0,2061446	0,6798293	0,6066375	0,0102465	0,7063687	0,6946151	0,5962662	0,1220975	0,7461037	0,2450774	0,0027289	0,4173577	0,5783940	0,3647250	0,5613351	0,7100482	0,6534717	0,0272447	0,3938680	0,3648263	0,0153174	0,3882278	0,5829777	0,6539788	0,0299439
0,7743367	0,6448707	0,0086988	0,0289132	0,6667895	0,3931614	0,0534856	0,0000000	0,1564769	0,6081308	0,0035772	0,2185488	0,4163540	0,8173582	0,5005240	0,0399963	0,6311379	0,6731595	0,8686363	0,1124168	0,0426927	0,0442894	0,5611314	0,7798265	0,7072454	0,2353916	0,7217471	0,6729931	0,0143235	0,7218494	0,8131288	0,6017910	0,2112880	0,7794104	0,1477244	0,0010485	0,3971962	0,5667737	0,2643764	0,5406250	0,6514046	0,7331059	0,0117556	0,4406268	0,4253307	0,0197199	0,2487161	0,6189076	0,5999751	0,0367860
0,7176739	0,5963847	0,0118879	0,1317781	0,8132173	0,3422268	0,0797262	0,3893396	0,0000000	0,6179298	0,0003791	0,3129639	0,3528649	0,7558912	0,4736083	0,0321774	0,6299348	0,7801017	0,6351784	0,1155496	0,0385891	0,0043620	0,6592219	0,6658037	0,5454969	0,2535570	0,8251954	0,6479460	0,0338362	0,7594649	0,6692861	0,6674566	0,1309425	0,7626959	0,4379067	0,0000281	0,5459312	0,6951598	0,2915576	0,5475635	0,6522175	0,9093842	0,0185085	0,3191031	0,5629809	0,0250661	0,3232547	0,7412920	0,6848542	0,0194523
0,7417616	0,8729779	0,0203728	0,1133203	0,6275340	0,3937743	0,1190485	0,7370835	0,4173382	0,0000000	0,0004173	0,3356005	0,3769008	0,8136659	0,3578173	0,0557953	0,6161091	0,7778617	0,8282108	0,0843416	0,0551512	0,0152207	0,6706942	0,8704684	0,7592236	0,2183661	0,8820856	0,5898924	0,0043571	0,6871039	0,7095865	0,6309258	0,1203751	0,8747923	0,3426557	0,0001781	0,4099244	0,6474168	0,3698282	0,6489579	0,6285247	0,8672851	0,0510022	0,5573628	0,3723322	0,0263336	0,3639677	0,8183666	0,6439738	0,0362966
